v_mps,a_deg,b_m,chi,mu,U_max,step_of_Umax,contact_len_s,max_overlap_m,UW_max
0.6,90.0,0.0,4.0,0.47,0.0,40700.0,0.00037,4.31102972773198e-05,0.3560604152928751
0.7,-90.0,0.0,4.0,0.47,0.0,35300.0,0.0003599999999999,4.875732947177275e-05,0.4282253806194643
0.7,-86.0,0.0,4.0,0.47,0.0,65600.0,0.0003599999999999,4.8922329743482373e-05,0.4388223171298127
0.7,-82.0,0.0,4.0,0.47,0.0,94000.0,0.0003599999999999,4.903385268709842e-05,0.449314378495246
0.7,-78.0,0.0,4.0,0.47,0.0,120400.0,0.00035,4.932469195235989e-05,0.4597684082724083
0.7,-74.0,0.0,4.0,0.47,0.0,144900.0,0.00035,4.971558639531304e-05,0.4712431734721285
0.7,-70.0,0.0,4.0,0.47,0.0051116716882848,143000.0,7.999999999999999e-05,7.192903892689478e-06,0.0133303253457641
0.7,-66.0,0.0,4.0,0.47,0.0055988013314074,143100.0,8.999999999999999e-05,7.374936836473944e-06,0.0162245317681795
0.7,-62.0,0.0,4.0,0.47,0.0065489854170102,143200.0,0.0001,7.460141526659248e-06,0.0201402252369909
0.7,-58.0,0.0,4.0,0.47,0.0086290035522072,143400.0,0.00013,7.786148079523547e-06,0.0266086714197539
0.7,-54.0,0.0,4.0,0.47,0.0137580045155153,143600.0,0.0001799999999999,1.0550645627518255e-05,0.0424532361945184
0.7,-50.0,0.0,4.0,0.47,0.0646666045843846,145700.0,0.00049,2.9017123048143828e-05,0.1976486987933461
0.7,-46.0,0.0,4.0,0.47,0.1195738653501947,145300.0,0.0004799999999999,4.347192555683929e-05,0.3552492850782348
0.7,-42.0,0.0,4.0,0.47,0.1291155176657804,145200.0,0.00047,4.564542879567299e-05,0.3776640903243788
0.7,-38.0,0.0,4.0,0.47,0.1375795583906963,145300.0,0.00047,4.760502380205672e-05,0.3972713281292415
0.7,-34.0,0.0,4.0,0.47,0.1465230537020017,145300.0,0.00047,4.956212034110813e-05,0.4172105164929389
0.7,-30.0,0.0,4.0,0.47,0.1548872271334269,145300.0,0.0004799999999999,5.140303302016494e-05,0.4357323084615682
0.7,-26.0,0.0,4.0,0.47,0.1625531523140403,145300.0,0.0004799999999999,5.309601606599129e-05,0.4526495089902848
0.7,-22.0,0.0,4.0,0.47,0.169506415722706,145300.0,0.0004799999999999,5.450681677320046e-05,0.4679325428105213
0.7,-18.0,0.0,4.0,0.47,0.1755776723915119,145300.0,0.00049,5.583422285430906e-05,0.4812342893716201
0.7,-14.0,0.0,4.0,0.47,0.1806184702026236,145300.0,0.00049,5.675036610455417e-05,0.4922509094714122
0.7,-10.0,0.0,4.0,0.47,0.1845072765467971,145300.0,0.00049,5.748011188471194e-05,0.5007320372205444
0.7,-6.0,0.0,4.0,0.47,0.1871511313845748,145300.0,0.00049,5.808243258061119e-05,0.5064912600986058
0.7,-2.0,0.0,4.0,0.47,0.188488449326798,145300.0,0.00049,5.8260184850784935e-05,0.5094022108403511
0.7,2.0,0.0,4.0,0.47,0.188488449326798,145300.0,0.00049,5.8260184850784935e-05,0.5094022108403511
0.7,6.0,0.0,4.0,0.47,0.1871511313845748,145300.0,0.00049,5.808243258061119e-05,0.5064912600986058
0.7,10.0,0.0,4.0,0.47,0.1845072765467971,145300.0,0.00049,5.748011188471194e-05,0.5007320372205444
0.7,14.0,0.0,4.0,0.47,0.1806184702026236,145300.0,0.00049,5.675036610455417e-05,0.4922509094714122
0.7,18.0,0.0,4.0,0.47,0.1755776723915119,145300.0,0.00049,5.583422285430906e-05,0.4812342893716201
0.7,22.0,0.0,4.0,0.47,0.169506415722706,145300.0,0.0004799999999999,5.450681677320046e-05,0.4679325428105213
0.7,26.0,0.0,4.0,0.47,0.1625531523140403,145300.0,0.0004799999999999,5.309601606599129e-05,0.4526495089902848
0.7,30.0,0.0,4.0,0.47,0.1548872271334269,145300.0,0.0004799999999999,5.140303302016494e-05,0.4357323084615682
0.7,34.0,0.0,4.0,0.47,0.1465230537020017,145300.0,0.00047,4.956212034110813e-05,0.4172105164929389
0.7,38.0,0.0,4.0,0.47,0.1375795583906963,145300.0,0.00047,4.760502380205672e-05,0.3972713281292415
0.7,42.0,0.0,4.0,0.47,0.1291155176657804,145200.0,0.00047,4.564542879567299e-05,0.3776640903243788
0.7,46.0,0.0,4.0,0.47,0.1195738653501947,145300.0,0.0004799999999999,4.347192555683929e-05,0.3552492850782348
0.7,50.0,0.0,4.0,0.47,0.0646666045843846,145700.0,0.00049,2.9017123048143828e-05,0.1976486987933461
0.7,54.0,0.0,4.0,0.47,0.0137580045155153,143600.0,0.0001799999999999,1.0550645627518255e-05,0.0424532361945184
0.7,58.0,0.0,4.0,0.47,0.0086290035522072,143400.0,0.00013,7.786148079523547e-06,0.0266086714197539
0.7,62.0,0.0,4.0,0.47,0.0065489854170102,143200.0,0.0001,7.460141526659248e-06,0.0201402252369909
0.7,66.0,0.0,4.0,0.47,0.0055988013314074,143100.0,8.999999999999999e-05,7.374936836473944e-06,0.0162245317681795
0.7,70.0,0.0,4.0,0.47,0.0051116716882848,143000.0,7.999999999999999e-05,7.192903892689478e-06,0.0133303253457641
0.7,74.0,0.0,4.0,0.47,0.0,144900.0,0.00035,4.971558639531304e-05,0.4712431734721285
0.7,78.0,0.0,4.0,0.47,0.0,120400.0,0.00035,4.932469195235989e-05,0.4597684082724083
0.7,82.0,0.0,4.0,0.47,0.0,94000.0,0.0003599999999999,4.903385268709842e-05,0.449314378495246
0.7,86.0,0.0,4.0,0.47,0.0,65600.0,0.0003599999999999,4.8922329743482373e-05,0.4388223171298127
0.7,90.0,0.0,4.0,0.47,0.0,35300.0,0.0003599999999999,4.875732947177275e-05,0.4282253806194643
0.8,-90.0,0.0,4.0,0.47,0.0,31200.0,0.0003399999999999,5.423058506356937e-05,0.5024768845318962
0.8,-86.0,0.0,4.0,0.47,0.0,57700.0,0.0003399999999999,5.4384196408192864e-05,0.5149839258270611
0.8,-82.0,0.0,4.0,0.47,0.0,82600.0,0.00035,5.4545051126030086e-05,0.5268520715909274
0.8,-78.0,0.0,4.0,0.47,0.0,105700.0,0.0003399999999999,5.490462948339048e-05,0.5401849263717899
0.8,-74.0,0.0,4.0,0.47,0.0,127200.0,0.00035,5.526991833873507e-05,0.5530761697776312
0.8,-70.0,0.0,4.0,0.47,0.0061704856368547,125200.0,7.999999999999999e-05,8.458432314287917e-06,0.0156120245270185
0.8,-66.0,0.0,4.0,0.47,0.006635973979252,125200.0,8.999999999999999e-05,8.582609231089222e-06,0.0192729282696962
0.8,-62.0,0.0,4.0,0.47,0.00771782164769,125400.0,0.0001,8.651951525742024e-06,0.0237279564959887
0.8,-58.0,0.0,4.0,0.47,0.0101738901708918,125500.0,0.0001199999999999,8.697923642796146e-06,0.0313625346769793
0.8,-54.0,0.0,4.0,0.47,0.0161625807402856,125800.0,0.0001699999999999,1.1710357055619292e-05,0.0498484341141088
0.8,-50.0,0.0,4.0,0.47,0.0725468480696166,127600.0,0.0004799999999999,3.134596946620383e-05,0.2213955949420224
0.8,-46.0,0.0,4.0,0.47,0.1407656536276003,127400.0,0.0004599999999999,4.830673090570892e-05,0.4166534250723185
0.8,-42.0,0.0,4.0,0.47,0.1521313977194887,127300.0,0.0004599999999999,5.082120355980741e-05,0.4432247827262688
0.8,-38.0,0.0,4.0,0.47,0.1621472908483933,127300.0,0.0004599999999999,5.2998456052555376e-05,0.4663049983931748
0.8,-34.0,0.0,4.0,0.47,0.172774697866783,127400.0,0.00047,5.5156942986939184e-05,0.4893388476273315
0.8,-30.0,0.0,4.0,0.47,0.1827030122957708,127400.0,0.0004599999999999,5.716468301910846e-05,0.5111140352340382
0.8,-26.0,0.0,4.0,0.47,0.1918001376596976,127400.0,0.00047,5.9021793741526746e-05,0.5310286415292061
0.8,-22.0,0.0,4.0,0.47,0.2000549712020206,127400.0,0.0004599999999999,6.061999583580405e-05,0.5490258210274724
0.8,-18.0,0.0,4.0,0.47,0.2072681492928341,127400.0,0.0004799999999999,6.202956409004715e-05,0.5647028200750973
0.8,-14.0,0.0,4.0,0.47,0.2132629584422316,127400.0,0.0004799999999999,6.323728417353264e-05,0.5777002399100973
0.8,-10.0,0.0,4.0,0.47,0.2178913227407885,127400.0,0.0004799999999999,6.407132789435638e-05,0.5877146085026926
